produto_comercial,empresa,ingrediente_2,ingrediente
Kick-Off 480 SL,AllierBrasil Agro Ltda.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Kicker,Sipcam Nichino Brasil S.A. - Uberaba/MG,sulfentrazona (triazolona),sulfentrazona (triazolona)
Kicker Sup,Sipcam Nichino Brasil S.A. - Uberaba/MG,sulfentrazona (triazolona),sulfentrazona (triazolona)
Kifix,Basf S.A. – Sao Paulo,imazapique (imidazolinona) and imazapir (imidazolinona),imazapique (imidazolinona) and imazapir (imidazolinona)
Kraken 240 EC,Cropchem Ltda,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Krismat WG,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Ametrina (triazina) and trifloxissulfurom-sodico (sulfonilurea),ametrina (triazina) and trifloxissulfurom-sodico (sulfonilurea)
Kroll,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona) and quizalofope-P-etilico (Acido ariloxifenoxipropionico),cletodim (oxima ciclohexanodiona) and quizalofope-p-etilico (acido ariloxifenoxipropionico)
Kromo 250 WG,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Krost 806 SL,Cropchem Ltda,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Krost 970 WG,Cropchem Ltda,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Krovar,AMVAC do Brasil Representações Ltda.,bromacila (Uracila) and diurom (ureia),bromacila (uracila) and diurom (ureia)
Krugar 250 SL,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,fomesafem (eteretilica),fomesafem (eteretilica)
Kyron 40 SC,Cropchem Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Kyron 750 WG,Cropchem Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Labrador,Helm do Brasil Mercantil Ltda,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Lactofen AGP 240 EC,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,lactofem (eteretilica),lactofem (eteretilica)
Lamper 480 SC,Cropchem Ltda,Mesotriona (Tricetona),mesotriona (tricetona)
Lava,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,tebutiurom (ureia),tebutiurom (ureia)
Lava 100,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,tebutiurom (ureia),tebutiurom (ureia)
Lava 800,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,tebutiurom (ureia),tebutiurom (ureia)
Lavra,BRA Defensivos Agricolas Ltda. (Piracicaba),"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Leale SC,Sumitomo Chemical do Brasil Representações Ltda.,Ametrina (triazina) and flumioxazina (ciclohexenodicarboximida),ametrina (triazina) and flumioxazina (ciclohexenodicarboximida)
Leopard,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Liberty,Basf S.A. – Sao Paulo,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Lifter,Dow Agrosciences Industrial Ltda. - Sao Paulo,"glifosato (glicina substituida) and 2,4_D (acido ariloxialcanoico)","glifosato (glicina substituida) and 2,4_d (acido ariloxialcanoico)"
Limpa,BRA Defensivos Agricolas Ltda. (Piracicaba),Atrazina (triazina),atrazina (triazina)
Limpidu,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Linurex Agricur 500 WP,Adama Brasil S.A. - Londrina,linurom (ureia),linurom (ureia)
Livra,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),aminopiralide (acido piridiniloxialcanoico) and fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Loop,FMC Química do Brasil Ltda. - Campinas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Lord,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Loyant,Dow Agrosciences Industrial Ltda. - Sao Paulo,Florpirauxifen-benzil (Arilpicolinato),florpirauxifen-benzil (arilpicolinato)
Lucens,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,metolacloro (cloroacetanilida),metolacloro (cloroacetanilida)
Lumica,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Mesotriona (Tricetona),mesotriona (tricetona)
Mademato,Dipil,glifosato (glicina substituida),glifosato (glicina substituida)
Madison,Nortox S.A. - Arapongas,Mesotriona (Tricetona),mesotriona (tricetona)
Magister,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Magneto SC,Iharabras S.A. Indústria Químicas - Sorocaba,amicarbazona (triazolinona),amicarbazona (triazolinona)
MagnusBR,Ouro Fino Química S.A. - Uberaba,hexazinona (triazinona),hexazinona (triazinona)
Mannejo,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Marte WG,BRA Defensivos Agricolas Ltda. (Piracicaba),diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Mattor,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Maxizato,Agro Import do Brasil Ltda.,glifosato (glicina substituida),glifosato (glicina substituida)
MegaBR,Ouro Fino Química S.A. - Uberaba,Ametrina (triazina),ametrina (triazina)
MegaBR Duo,Ouro Fino Química S.A. - Uberaba,Ametrina (triazina) and clomazona (isoxazolidinona),ametrina (triazina) and clomazona (isoxazolidinona)
Meristo,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Mesotriona (Tricetona),mesotriona (tricetona)
Meson 480 SC,Cropchem Ltda,Mesotriona (Tricetona),mesotriona (tricetona)
Mesopec,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,Mesotriona (Tricetona),mesotriona (tricetona)
Mesotriona Cana Nortox,Nortox S.A. - Arapongas,Mesotriona (Tricetona),mesotriona (tricetona)
Mesotriona CCAB 480 SC,CCAB Agro S.A. – Sao Paulo,Mesotriona (Tricetona),mesotriona (tricetona)
Mesotriona Nortox,Nortox S.A. - Arapongas,Mesotriona (Tricetona),mesotriona (tricetona)
Mesotrione 480 SC Proventis,Proventis Lifescience Defensivos Agricolas Ltda,Mesotriona (Tricetona),mesotriona (tricetona)
Metagan,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,metolacloro (cloroacetanilida),metolacloro (cloroacetanilida)
Metiz,Agro Import do Brasil Ltda.,metribuzim (triazinona),metribuzim (triazinona)
Metribuzin Tide 480 SC,Tide do Brasil Ltda.,metribuzim (triazinona),metribuzim (triazinona)
Metrimex,Oxon Brasil Defensivos Agricolas Ltda.,Ametrina (triazina),ametrina (triazina)
Metrimex 500 SC,Oxon Brasil Defensivos Agricolas Ltda.,Ametrina (triazina),ametrina (triazina)
Metry,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,metribuzim (triazinona),metribuzim (triazinona)
Metsuram 600 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Mirant,Iharabras S.A. Indústria Químicas - Sorocaba,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Mirato,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Missil,Dow Agrosciences Industrial Ltda. - Sao Paulo,haloxifope-P-metilico (Acido ariloxifenoxipropionico),haloxifope-p-metilico (acido ariloxifenoxipropionico)
Miura EC,Avgust Crop Protection Importação e Exportação Ltda.,quizalofope-P-etilico (Acido ariloxifenoxipropionico),quizalofope-p-etilico (acido ariloxifenoxipropionico)
Mojjave,Ouro Fino Química S.A. - Uberaba,glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida),glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida)
Montana 480,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Most,Oxon Brasil Defensivos Agricolas Ltda.,Atrazina (triazina),atrazina (triazina)
MourãoBR,Ouro Fino Química S.A. - Uberaba,glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida),glifosato-sal de isopropilamina (glicina substituida) and glifosato-sal de potássio (glicina substituida)
MSMA 720,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,MSMA (organoarsenico),msma (organoarsenico)
Naja,Adama Brasil S.A. - Londrina,lactofem (eteretilica),lactofem (eteretilica)
Narval 40 SC,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Navajo,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Navigator,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Nico,BRA Defensivos Agricolas Ltda. (Piracicaba),nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nico 750 WG,BRA Defensivos Agricolas Ltda. (Piracicaba),nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nicopec,Tradecorp do Brasil Comércio de insumos Agricolas Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nicosulfuron Nortox,Nortox S.A. - Arapongas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nicosulfuron Nortox 40 SC,Nortox S.A. - Arapongas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nicosulfuron Nortox 750 WG,Nortox S.A. - Arapongas,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nippon,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nippon 40,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,nicossulfurom (sulfonilurea) and nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea) and nicossulfurom (sulfonilurea)
Nisshin,ISK Biosciences do Brasil Defensivos Agricolas Ltda,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Nominee 400 SC,Iharabras S.A. Indústria Químicas - Sorocaba,Bispiribaque-sodico (Acido pirimidiniloxibenzóico),bispiribaque-sodico (acido pirimidiniloxibenzóico)
Nongrass,Albaugh Agro Brasil Ltda.- Sao Paulo,tebutiurom (ureia),tebutiurom (ureia)
Norton,Nortox S.A. - Arapongas,"picloram-trietanolamina (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram-trietanolamina (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Nufosate,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Nufosate BR,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Nufosate WG,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,glifosato (glicina substituida),glifosato (glicina substituida)
Nufuron,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,metsulfurom-metilico (sulfonilurea),metsulfurom-metilico (sulfonilurea)
Nuquat,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
OFF ROAD,Ouro Fino Química S.A. - Uberaba,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Onesa,Lemma Agronegócios Importação e Exportação Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Only,Basf S.A. – Sao Paulo,imazapique (imidazolinona) and imazetapir (imidazolinona),imazapique (imidazolinona) and imazetapir (imidazolinona)
Orbit,Sinon do Brasil Ltda. - Porto Alegre /RS.,Paraquate (bipiridílio),paraquate (bipiridílio)
Oris,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona) and tebutiurom (ureia),amicarbazona (triazolinona) and tebutiurom (ureia)
Outliner,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and Triclopir-butotilico (Acido piridiniloxialcanoico),fluroxipir-meptilico (acido piridiniloxialcanoico) and triclopir-butotilico (acido piridiniloxialcanoico)
Pacto,Dow Agrosciences Industrial Ltda. - Sao Paulo,cloransulam-metilico (sulfonanilida triazolopirimidina),cloransulam-metilico (sulfonanilida triazolopirimidina)
Padron,Dow Agrosciences Industrial Ltda. - Sao Paulo,picloram-trietanolamina (acido piridinocarboxilico),picloram-trietanolamina (acido piridinocarboxilico)
Paicer WG,Cropchem Ltda,Atrazina (triazina) and nicossulfurom (sulfonilurea),atrazina (triazina) and nicossulfurom (sulfonilurea)
Palace,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram-triisopropanolamina (acido piridinocarboxilico) and 2,4_D-triisopropanolamina (acido ariloxialcanoico)","picloram-triisopropanolamina (acido piridinocarboxilico) and 2,4_d-triisopropanolamina (acido ariloxialcanoico)"
Palace Ultra,Dow Agrosciences Industrial Ltda. - Sao Paulo,"Aminopiralide (Acido piridiniloxialcanoico) and 2,4_D (acido ariloxialcanoico)","aminopiralide (acido piridiniloxialcanoico) and 2,4_d (acido ariloxialcanoico)"
Pampa,BRA Defensivos Agricolas Ltda. (Piracicaba),"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Panga 900 WG,Cropchem Ltda,Atrazina (triazina),atrazina (triazina)
Panoramic,Dow Agrosciences Industrial Ltda. - Sao Paulo,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Pantani 750 WG,Rotam do Brasil Agroquímica e Produtos Agricolas Ltda.,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Panther 120 EC,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,quizalofope-P-tefurílico (Acido ariloxifenoxipropionico),quizalofope-p-tefurílico (acido ariloxifenoxipropionico)
Panzer 250 WDG,Cropchem Ltda,clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Paradox,Sinon do Brasil Ltda. - Porto Alegre /RS.,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Paramaster,Helm do Brasil Mercantil Ltda,Paraquate (bipiridílio),paraquate (bipiridílio)
Paraquat 200 SL Alamos,Alamos do Brasil Ltda.,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Paraquate Alta 200 SL,ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Pastejo,Adama Brasil S.A. - Londrina,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram-trietanolamina (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram-trietanolamina (acido piridinocarboxilico)
Pastor,Tecnomyl Brasil Distribuidora de Produtos Agricolas Ltda - Foz do Iguaçu,"picloram-trietanolamina (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram-trietanolamina (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Patrol SL,Adama Brasil S.A. - Londrina,Glufosinato - sal de amônio (homoalanina substituida),glufosinato - sal de amônio (homoalanina substituida)
Pendimethalin Sanachem 500 EC,Dow Agrosciences Industrial Ltda. - Sao Paulo,pendimetalina (dinitroanilina),pendimetalina (dinitroanilina)
Penoxsulam Pré-mistura Dow Agrosciences,Dow Agrosciences Industrial Ltda. - Sao Paulo,Penoxsulam (sulfonanilida triazolopirimidina),penoxsulam (sulfonanilida triazolopirimidina)
Perflan,Proventis Lifescience Defensivos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Perflan 800 BR,Proventis Lifescience Defensivos Agricolas Ltda,tebutiurom (ureia),tebutiurom (ureia)
Perform 240 SL,Dow Agrosciences Industrial Ltda. - Sao Paulo,hexazinona (triazinona),hexazinona (triazinona)
Picloram Nortox 240 SL,Nortox S.A. - Arapongas,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Pilarico,Pilarquim Br Comercial Ltda.- Sao Paulo,nicossulfurom (sulfonilurea),nicossulfurom (sulfonilurea)
Pilarsato,Pilarquim Br Comercial Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Pilon WG,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,propanil (anilida),propanil (anilida)
Pilot,Sinon do Brasil Ltda. - Porto Alegre /RS.,fluazifope-P-butilico (Acido ariloxifenoxipropionico),fluazifope-p-butilico (acido ariloxifenoxipropionico)
Pique 240 SL,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,picloram (acido piridinocarboxilico),picloram (acido piridinocarboxilico)
Pistol,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,imazetapir (imidazolinona),imazetapir (imidazolinona)
Pistol 106 SL,Nufarm Indústria Química e Farmacêutica S.A. - Maracanaú,imazetapir (imidazolinona),imazetapir (imidazolinona)
Pivot 100 SL,Basf S.A. – Sao Paulo,imazetapir (imidazolinona),imazetapir (imidazolinona)
Planador,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico),fluroxipir-meptilico (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico)
Planador XT,Dow Agrosciences Industrial Ltda. - Sao Paulo,Aminopiralide (Acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and Triclopir-butotilico (Acido piridiniloxialcanoico),aminopiralide (acido piridiniloxialcanoico) and picloram (acido piridinocarboxilico) and triclopir-butotilico (acido piridiniloxialcanoico)
Plateau,Basf S.A. – Sao Paulo,imazapique (imidazolinona),imazapique (imidazolinona)
Platon,Adama Brasil S.A. - Londrina,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Pledge SC,Sumitomo Chemical do Brasil Representações Ltda.,flumioxazina (ciclohexenodicarboximida),flumioxazina (ciclohexenodicarboximida)
Poast,Basf S.A. – Sao Paulo,setoxidim (oxima ciclohexanodiona),setoxidim (oxima ciclohexanodiona)
Poast Plus,Basf S.A. – Sao Paulo,setoxidim (oxima ciclohexanodiona),setoxidim (oxima ciclohexanodiona)
Pocco 480 SL,Prentiss Química Ltda. - Campo Largo/PR,glifosato (glicina substituida),glifosato (glicina substituida)
Podium EW,Bayer S.A. - Sao Paulo/ SP,fenoxaprope-P-etilico (Acido ariloxifenoxipropionico),fenoxaprope-p-etilico (acido ariloxifenoxipropionico)
PonteiroBR,Ouro Fino Química S.A. - Uberaba,sulfentrazona (triazolona),sulfentrazona (triazolona)
Pooper,Nortox S.A. - Arapongas,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Poquer,Adama Brasil S.A. - Londrina,cletodim (oxima ciclohexanodiona),cletodim (oxima ciclohexanodiona)
Posmil,Adama Brasil S.A. - Londrina,Atrazina (triazina),atrazina (triazina)
Potensato,Stockton Agrimor do Brasil Ltda.,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Pramato,Agroli Indústria Química Ltda.,bentazona (benzotiadiazinona) and dicloreto de paraquate (bipiridílio),bentazona (benzotiadiazinona) and dicloreto de paraquate (bipiridílio)
Preciso,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Predileto,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,amicarbazona (triazolinona) and tebutiurom (ureia),amicarbazona (triazolinona) and tebutiurom (ureia)
Premerlin 600 EC,Adama Brasil S.A. - Londrina,trifluralina (dinitroanilina),trifluralina (dinitroanilina)
Pren-D 806,Prentiss Química Ltda. - Campo Largo/PR,"2,4_D (acido ariloxialcanoico)","2,4_d (acido ariloxialcanoico)"
Prestige,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico),fluroxipir-meptilico (acido piridiniloxialcanoico)
Prestige Plus,Dow Agrosciences Industrial Ltda. - Sao Paulo,Fluroxipir-meptilico (Acido piridiniloxialcanoico),fluroxipir-meptilico (acido piridiniloxialcanoico)
Pretorian,Albaugh Agro Brasil Ltda.- Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Pri-Mordial,Nortox S.A. - Arapongas,"picloram-trietanolamina (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram-trietanolamina (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Primagram Gold,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and S_metolacloro (cloroacetanilida),atrazina (triazina) and s_metolacloro (cloroacetanilida)
Primaiz Gold,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and S_metolacloro (cloroacetanilida),atrazina (triazina) and s_metolacloro (cloroacetanilida)
Primatop SC,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and simazina (triazina),atrazina (triazina) and simazina (triazina)
Primestra Gold,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina) and S_metolacloro (cloroacetanilida),atrazina (triazina) and s_metolacloro (cloroacetanilida)
Primóleo,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina),atrazina (triazina)
Profit,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona) and clomazona (isoxazolidinona),carfentrazona-etilica (triazolona) and clomazona (isoxazolidinona)
Proof,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Atrazina (triazina),atrazina (triazina)
Propanil Fersol 360 EC,Ameribras Indústria e Comércio Ltda.,propanil (anilida),propanil (anilida)
Propanil Milenia,Adama Brasil S.A. - Londrina,propanil (anilida),propanil (anilida)
Provence 750 WG,Bayer S.A. - Sao Paulo/ SP,isoxaflutol (isoxazol),isoxaflutol (isoxazol)
Provence Total,Bayer S.A. - Sao Paulo/ SP,indaziflam ( Alquilazina) and isoxaflutol (isoxazol),indaziflam ( alquilazina) and isoxaflutol (isoxazol)
Provisia 50 EC,Basf S.A. – Sao Paulo,quizalofope-P-etilico (Acido ariloxifenoxipropionico),quizalofope-p-etilico (acido ariloxifenoxipropionico)
Prowl H2O,Basf S.A. – Sao Paulo,pendimetalina (dinitroanilina),pendimetalina (dinitroanilina)
Punto,Avgust Crop Protection Importação e Exportação Ltda.,diurom (ureia) and tidiazurom (ureia),diurom (ureia) and tidiazurom (ureia)
Quallis,Ouro Fino Química S.A. - Uberaba,"picloram (acido piridinocarboxilico) and 2,4_D (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d (acido ariloxialcanoico)"
Quatdown,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,dicloreto de paraquate (bipiridílio),dicloreto de paraquate (bipiridílio)
Quicksilver 400 EC,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Radar,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de isopropilamina (glicina substituida),glifosato-sal de isopropilamina (glicina substituida)
Radar WG,Monsanto do Brasil Ltda - Sao Paulo,glifosato (glicina substituida),glifosato (glicina substituida)
Radiant 100,Sumitomo Chemical do Brasil Representações Ltda.,flumicloraque-pentilico (ciclohexenodicarboximida),flumicloraque-pentilico (ciclohexenodicarboximida)
Radiant 100 EC,Sumitomo Chemical do Brasil Representações Ltda.,flumicloraque-pentilico (ciclohexenodicarboximida),flumicloraque-pentilico (ciclohexenodicarboximida)
Rage,FMC Química do Brasil Ltda. - Campinas,carfentrazona-etilica (triazolona),carfentrazona-etilica (triazolona)
Rainburon,Rainbow Defensivos Agricolas Ltda.- Porto Alegre,diurom (ureia),diurom (ureia)
Raio,Prentiss Química Ltda. - Campo Largo/PR,"picloram (acido piridinocarboxilico) and 2,4_D-trietanolamina (acido ariloxialcanoico)","picloram (acido piridinocarboxilico) and 2,4_d-trietanolamina (acido ariloxialcanoico)"
Rajer 250 WG,BRA Defensivos Agricolas Ltda. (Piracicaba),clorimurom-etilico (sulfonilurea),clorimurom-etilico (sulfonilurea)
Ralbuzin 480 SC,Prophyto Comercio e Servicos Ltda.,metribuzim (triazinona),metribuzim (triazinona)
Rancho,Ouro Fino Química S.A. - Uberaba,diurom (ureia) and hexazinona (triazinona),diurom (ureia) and hexazinona (triazinona)
Ranger,Du_Pont do Brasil S.A. - Barueri (Alphaville),clomazona (isoxazolidinona) and hexazinona (triazinona),clomazona (isoxazolidinona) and hexazinona (triazinona)
Raprus,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,glifosato (glicina substituida) and metolacloro (cloroacetanilida),glifosato (glicina substituida) and metolacloro (cloroacetanilida)
Rapsode,FMC Química do Brasil Ltda. - Campinas,fenoxaprope-P-etilico (Acido ariloxifenoxipropionico),fenoxaprope-p-etilico (acido ariloxifenoxipropionico)
Raptor 70 DG,Basf S.A. – Sao Paulo,imazamoxi (imidazolinona),imazamoxi (imidazolinona)
Rascal,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava,Triclopir-butotilico (Acido piridiniloxialcanoico),triclopir-butotilico (acido piridiniloxialcanoico)
Rayo,Monsanto do Brasil Ltda - Sao Paulo,glifosato-sal de potássio (glicina substituida),glifosato-sal de potássio (glicina substituida)
Reator 360 CS,FMC Química do Brasil Ltda. - Campinas,clomazona (isoxazolidinona),clomazona (isoxazolidinona)
Reglone,Syngenta Proteção de Cultivos Ltda. – Sao Paulo,Dibrometo de diquate (bipiridílio),dibrometo de diquate (bipiridílio)
Relicta,Dow Agrosciences Industrial Ltda. - Sao Paulo,Florpirauxifen-benzil (Arilpicolinato),florpirauxifen-benzil (arilpicolinato)
Resource 100,Sumitomo Chemical do Brasil Representações Ltda.,flumicloraque-pentilico (ciclohexenodicarboximida),flumicloraque-pentilico (ciclohexenodicarboximida)
